,age,building,cost_join,effect,research time,food,wood,gold,stone
town watch,,Town Center,75F,Buildings +4 Line of Sight,25.0,75,0,0,0
town patrol,,Town Center,300F 100G,Buildings +4 Line of Sight,40.0,300,0,100,0
treadmill crane,,University,300F 200W,Villagers build 20% faster,50.0,300,200,0,0
masonry,,University,150F 175W,"Buildings +10% hit points, +1/+1 armor, and +3 building armor",50.0,150,175,0,0
architecture,,University,300F 200W,"Buildings +10% hit points, +1/+1 armor, and +3 building armor",70.0,300,200,0,0
hoardings,,Castle,400F 400W,Castle HP +21%,75.0,400,400,0,0
conscription,,Castle,150F 150G,Work rate of military buildings (except Siege Workshop) +33%,60.0,150,0,150,0
wheelbarrow,,Town Center,175F 50W,"Villager +10% speed, +25% carrying capacity",75.0,175,50,0,0
hand cart,,Town Center,300F 200W,"Villager +10% speed +50%, carrying capacity",55.0,300,200,0,0
double-bit axe,,Lumber Camp,100F 50W,Villagers chop wood 20% faster,25.0,100,50,0,0
bow saw,,Lumber Camp,150F 100W,Villagers chop wood 20% faster,50.0,150,100,0,0
two-man saw,,Lumber Camp,300F 200W,Villagers chop wood 10% faster,100.0,300,200,0,0
horse collar,,Mill,75F 75W,Farms +75 food,20.0,75,75,0,0
heavy plow,,Mill,125F 125W,"Farms +125 food, Villagers +1 food carry capacity",40.0,125,125,0,0
crop rotation,,Mill,250F 250W,Farms +175 food,70.0,250,250,0,0
gold mining,,Mining Camp,100F 75W,Villagers mine gold 15% faster,30.0,100,75,0,0
gold shaft mining,,Mining Camp,200F 150W,Villagers mine gold 15% faster,75.0,200,150,0,0
stone mining,,Mining Camp,100F 75W,Villagers mine stone 15% faster,30.0,100,75,0,0
stone shaft mining,,Mining Camp,200F 150W,Villagers mine stone 15% faster,75.0,200,150,0,0
caravan,,Market,200F 200G,Trade Carts and Trade Cogs move 50% faster,40.0,200,0,200,0
coinage,,Market,200F 100G,Tribute fee 20%,70.0,200,0,100,0
banking,,Market,300F 200G,Tribute fee 0%,70.0,300,0,200,0
guilds,,Market,300F 200G,Trading fee 15%,50.0,300,0,200,0
gillnets,,Dock,150F 200W,Fishing Ships work 25% faster,,150,200,0,0
redemption,,,475G,Monks can convert all siege units and most buildings,50.0,0,0,475,0
atonement,,,325G,Monks can convert other Monks,40.0,0,0,325,0
herbal medicine,,,200G,Garrisoned units heal 6× faster,35.0,0,0,200,0
heresy,,,"1,000G",Units converted by enemy Monks die instead of joining them,60.0,0,0,0,0
sanctity,,,120G,Monks +15 HP,60.0,0,0,120,0
fervor,,,140G,Monks +15% speed,50.0,0,0,140,0
faith,,,"750F 1,000G",Units are harder for enemy Monks to convert,60.0,750,0,0,0
illumination,,,120G,Monk rejuvenation speed +87.5%,65.0,0,0,120,0
block printing,,,200G,Monks +3 conversion range,55.0,0,0,200,0
theocracy,,,200G,Only one Monk must rest when several convert the same target,75.0,0,0,200,0
tracking,,Barracks,0,Infantry +2 Line of Sight,0.0,0,0,0,0
supplies,,Barracks,75F 75G,Militia line cost -15 food,20.0,75,0,75,0
gambesons,,Barracks,100F 100G,Militia line +1 pierce armor,25.0,100,0,100,0
squires,,Barracks,100F,Infantry +10% speed,40.0,100,0,0,0
arson,,Barracks,150F 50G,Infantry +2 attack vs buildings,25.0,150,0,50,0
forging,,Blacksmith,150F,Infantry/cavalry +1 attack,50.0,150,0,0,0
iron casting,,Blacksmith,220F 120G,Infantry/cavalry +1 attack,75.0,220,0,120,0
blast furnace,,Blacksmith,275F 225G,Infantry/cavalry +2 attack,100.0,275,0,225,0
scale mail armor,,Blacksmith,100F,Infantry +1/+1 armor,40.0,100,0,0,0
chain mail armor,,Blacksmith,200F 100G,Infantry +1/+1 armor,55.0,200,0,100,0
plate mail armor,,Blacksmith,300F 150G,Infantry +1/+2 armor,70.0,300,0,150,0
thumb ring,,Archery Range,300F 250W,Archers fire faster and with 100% accuracy,45.0,300,250,0,0
parthian tactics,,Archery Range,200F 250G,Mounted archers and Arambai +1/+2 armor and +2 attack vs Spearmen,65.0,200,0,250,0
fletching,,Blacksmith,100F 50G,"Archers, Galleys, Castles, and Towers +1 range and attack. Town Centers +1 attack and Line of Sight.",30.0,100,0,50,0
bodkin arrow,,Blacksmith,200F 100G,"Archers, Galleys, Castles, and Towers +1 range and attack. Town Centers +1 attack and Line of Sight.",35.0,200,0,100,0
bracer,,Blacksmith,300F 200G,"Archers, Galleys, Castles, and Towers +1 range and attack. Town Centers +1 attack and Line of Sight.",40.0,300,0,200,0
padded archer armor,,Blacksmith,100F,Archers +1/+1 armor,40.0,100,0,0,0
